ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt
1001421668416479232,BITMEX is where i traded and fcking doubled my money during bitcoin's downturn. .Create acc-&gt;… /qy9aiZ83mn,Be your own BOSS,18,0,0,Tue May 29 11:15:05 +0000 2018
1001421502326235136,Zilliqa for sure!,CarieCrypto,64,0,0,Tue May 29 11:14:26 +0000 2018
1001421401033654273,When the market recovers its bloody going to leave no time to get in. For example look at the $ZIL buy/sell orders… /IVkrsRdRdc,Arul,420,0,0,Tue May 29 11:14:02 +0000 2018
1001421256527368192,RT : 📈ZIL 05/27/18This is one of 2 possible counts. If price doesn't hold in this area then we have to re-evaluate this coun…,Qatoshi 🔑,85,6,0,Tue May 29 11:13:27 +0000 2018
1001420971956490240,"RT : I don’t know how much lower it will go but definitely projects to keep your eyes on: $ICX, $ELF, $ONT, $ZIL, $ZRX &amp; $OMG &amp; o…",Cryptonomics📈 [not giving away $DOGE],573,10,0,Tue May 29 11:12:19 +0000 2018
1001420434162642944,"RT : $BTC $WAN $ICX $BPT $ZIL $NANO These are my top 5, I want as much of these as possible. Nano is a great buy here, we…",Aphelion bullish on $APH,12,1,0,Tue May 29 11:10:11 +0000 2018
1001420400939630594,"RT : Live-tweet of presentation about Scilla, a programming language for verifiable computing and secure smart contr…",Benz Bz,25,4,0,Tue May 29 11:10:03 +0000 2018
1001420327031894016,RT : 🎁3 possible $ZIL collaborations could be published soon + Testnet v2 release 30th June…,Andrej Klimscha,2495,13,0,Tue May 29 11:09:46 +0000 2018
1001419994410954752,Our last pump was up 20% on Binane/zJBD8tPG06$BNT $LEND $NCASH $ONT $XVG $SNM $BCD $GXS $ARN $EOS… /0mZBxkQwc4,Nelson Menzies,8,0,0,Tue May 29 11:08:26 +0000 2018
1001419247803912192,RT : Major mainnet launches to be released soon:- Tron $TRX- EOS $EOS- Zilliqa $ZIL- VeChain $VEN- Cardano $ADA,Crypto Addict,48,46,0,Tue May 29 11:05:28 +0000 2018
1001419203314937856,BITMEX is where i traded and fcking doubled my money during bitcoin's downturn. Create acc-&gt;… /65miFFMFLC,TraderJohn,17,0,0,Tue May 29 11:05:18 +0000 2018
1001419105772101632,"$BTC price movement looking great! Also, $ADA Cardano $ZIL Zilliqa $BCN Bytecoin $LTC Litecoin and $GRS… /hAqglCoCdZ",Crypto Live TV,144,6,3,Tue May 29 11:04:54 +0000 2018
1001418535174885376,RT : BITMEX is where i traded and fcking doubled my money during bitcoin's downturn. .JUST DO IT -&gt;/RNe9D2tABZ 1…,Vickey Tomas,0,1,0,Tue May 29 11:02:38 +0000 2018
1001418057288384513,OmiseGO $OMG price: $9.93 HURRY! Binance is currently accepting new users 😍 🤑  ➡️ /m0PFdjgrvw… /ztNVXDa33Y,Crypto Aggression,22,0,0,Tue May 29 11:00:44 +0000 2018
1001417979630903297,BITMEX is where i traded and fcking doubled my money during bitcoin's downturn. .JUST DO IT -&gt;… /wvzLyV1GNl,Be your own BOSS,18,1,0,Tue May 29 11:00:26 +0000 2018
1001417531100356609,Next pump scheduled today/uCfOs30ZMb$ONT $MDA $OMG $TRX $NAV $CMT $STRAT $IOST $NEBL $DNT $ZIL… /hu866M5jKX,Hewe Sharpe,2,0,0,Tue May 29 10:58:39 +0000 2018
1001417343719919617,"RT : List of Mainnet Launches for the next months:Zilliqa ZIL - Q3Cardano ADA - Q2/Q3VeChain VEN - Q2, 30 Junecrypto…",Paul Fitzpatrick,45,1,0,Tue May 29 10:57:54 +0000 2018
1001416388299378688,Sold $USDT to $BTC and bought 4000 $ZIL @ 0.00001451 for quick trade. We might see several days of upside in Bitcoi… /a6SrIOaOOI,chain.ski,11,0,0,Tue May 29 10:54:07 +0000 2018
1001416009222377472,"$BTC $WAN $ICX $BPT $ZIL $NANO These are my top 5, I want as much of these as possible. Nano is a great buy her… /VWB6nfpYXN",Kyle.,1700,1,1,Tue May 29 10:52:36 +0000 2018
1001416006810529792,RT : Major mainnet launches to be released soon:- Tron $TRX- EOS $EOS- Zilliqa $ZIL- VeChain $VEN- Cardano $ADA,CryptoRishi,60,46,0,Tue May 29 10:52:36 +0000 2018
1001415753633939456,RT : Many altcoins have almost fully retraced and correction. These are some coins that could start seeing an uptrend moving…,byte,13,2,0,Tue May 29 10:51:35 +0000 2018
1001415621270228992,BINANCE REGISTRATIONS OPEN!1 Crypto Exchange (0.01% FEE) /yBELdgFP9v      (All airdrops and forks… /Y22kE0Dq4R,Crypto Analysis,19636,0,0,Tue May 29 10:51:04 +0000 2018
1001415365199630336,"BITMEX is where i traded and fcking doubled my money during bitcoin's downturn. ,Create acc -&gt;… /A2vyDyVkJU",TraderJohn,17,0,0,Tue May 29 10:50:03 +0000 2018
1001414226785652737,We will pump coin on Binance today/4oi5hC9cSQ$CND $EOS $SNGL $BNT $BCPT $TRX $OST $ICX $ARN $WAVES… /pojnz7mWYB,Ives Ellen,12,0,0,Tue May 29 10:45:31 +0000 2018
1001414108552540161,"BITMEX is where i traded and fcking doubled my money during bitcoin's downturn. .,JUST DO IT -&gt;… /ZmdblN7mJi",Be your own BOSS,18,0,0,Tue May 29 10:45:03 +0000 2018
1001414099677331456,"RT : VIP PumpAndDump GROUP. Get signals first, earn huge! FREE for a limited time./TITj8siBSs…",Qatuz,0,639,0,Tue May 29 10:45:01 +0000 2018
1001413817191059458,OmiseGO $OMG price: $9.83 HURRY! Binance is currently accepting new users 😊 🚀  ➡️ /xSimi8HW4A$UFR… /1uoF3JW4kY,x Hojix,32,0,0,Tue May 29 10:43:54 +0000 2018
1001413663067201536,RT : Most perspective markets for the last 10 minutes.Check out our website for more detailed data with real-time access…,Trading News,329,2,0,Tue May 29 10:43:17 +0000 2018
1001413660764323840,RT : Most perspective markets for the last 10 minutes.Check out our website for more detailed data with real-time access…,Trading Ideas,133224,2,0,Tue May 29 10:43:16 +0000 2018
1001413607270305792,Join our biggest pump Binance group/5yfQ2lvHRz$GAS $DNT $DOCK $WTC $ZIL $LSK $MDA $NEO $KCS $CTR… /ODaqDqrsP1,Corby Newman,10,0,0,Tue May 29 10:43:03 +0000 2018
1001412855487520769,Most perspective markets for the last 10 minutes.Check out our website for more detailed data with real-time acces… /F03E0BD4iX,Tradealert,1301,2,0,Tue May 29 10:40:04 +0000 2018
1001412491182682112,"List of Mainnet Launches for the next months:Zilliqa ZIL - Q3Cardano ADA - Q2/Q3VeChain VEN - Q2, 30 June… /KS0WNgYSrB",Crypto Motions,12353,1,1,Tue May 29 10:38:37 +0000 2018
1001412268448403458,Next pump scheduled today/K5PFPNpTG3$WAVES $GAS $ENG $CND $NCASH $BCPT $SRN $MDA $BTC $ZIL $BNB… /Hr1p11jdum,Millard Morgans,3,0,0,Tue May 29 10:37:44 +0000 2018
1001411744873500672,RT : We are going to pump $trx today/Mw9M0ECNUV$EDO $ONT $IIC $RDN $QSP $XVG $LUN $NCASH $WAN $ABT $ELF $BQX…,Freida Slovinsky,7,1,0,Tue May 29 10:35:39 +0000 2018
1001411613361131520,BITMEX is where i traded and fcking doubled my money during bitcoin's downturn. JUST DO IT -&gt;… /NSUeWwhnjS,TraderJohn,17,0,0,Tue May 29 10:35:08 +0000 2018
1001411375556628481,Zilliqa (ZIL) Disrupting the Blockchain; Sharding is Coming /rwyDW20tlz,Maur_ice81,106,0,1,Tue May 29 10:34:11 +0000 2018
1001411227996704768,We are going to pump $trx today/Mw9M0ECNUV$EDO $ONT $IIC $RDN $QSP $XVG $LUN $NCASH $WAN $ABT $ELF… /P80KU4oMNO,Drake Winfield,6,1,0,Tue May 29 10:33:36 +0000 2018
