ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt
1001393819395358720,RT @jaecuIt: everyone please rise for nexo culture technology https://t.co/0UHkwmFWKv,vir.ㅤ  ㅤ ㅤ ㅤ ㅤ,313,4,0,Tue May 29 09:24:26 +0000 2018
1001393602352705537,RT @jaecuIt: everyone please rise for nexo culture technology https://t.co/0UHkwmFWKv,mba 🍔 SUN & MOON D-8 & D-16,882,4,0,Tue May 29 09:23:34 +0000 2018
1001393198248448000,RT @jaecuIt: everyone please rise for nexo culture technology https://t.co/0UHkwmFWKv,𝓙𝓪𝔂 | Going✈️exams,155,4,0,Tue May 29 09:21:58 +0000 2018
1001392782890688512,"https://t.co/cmnDYvrrCd Register a new account at Hotbit and receive 50 $ALI, deposit to account, rec. 150 more. Ho… https://t.co/fdYVuuAvS6",NightTrading&Praying,103,0,0,Tue May 29 09:20:19 +0000 2018
1001392777677168640,"NEXO STM, GEO, ID and PS families on parade at the Sync expo in Lisbon.  45*N-12 wedges on the 'magic carpet'!  (Sh… https://t.co/ZWbogqMitU",NEXO,1277,0,0,Tue May 29 09:20:17 +0000 2018
1001391672457129984,RT @FatBTC: FatBTC has opened deposit of Nexo（NEXO） and  will start NEXO/ETH trading at  14：00 May 13th (UTC+8)  Details:https://t.co/4K2cm…,Солдатенкова татьяна,18,50,0,Tue May 29 09:15:54 +0000 2018
1001381723358117888,RT @NexoFinance: Nexo Community is now the largest crypto group on Telegram with 64k+ supporters and growing! We would like to thank you al…,Aditz sopo jarwo,11,571,0,Tue May 29 08:36:22 +0000 2018
1001380317280849920,Nexo Japan is now one of my followers! Thanks! https://t.co/msXI1mCxB6 837 https://t.co/msXI1mCxB6 https://t.co/qm5U5YIII7,"Wilhelm Bielert, PhD",10146,0,0,Tue May 29 08:30:47 +0000 2018
1001377684012830720,I liked a @YouTube video https://t.co/0cOPTy6Ed1 Nexo ~ THE SOCIAL JUSTICE DAMPENING OF DOCTOR WHO,Jesse,706,0,0,Tue May 29 08:20:19 +0000 2018
1001375488101756929,RT @Terror_Scripter: No one can jump like @Nexo_os #RobloxDev #Roblox https://t.co/4EUA4SC4dC,RTBot,286,8,0,Tue May 29 08:11:35 +0000 2018
1001375173822566400,RT @Terror_Scripter: No one can jump like @Nexo_os #RobloxDev #Roblox https://t.co/4EUA4SC4dC,Roblox : Community Game Center,203,8,0,Tue May 29 08:10:20 +0000 2018
1001372648696233984,@NexoFinance please be aware of an existing scam claiming of Nexo airdrop on google form and telegram.Scam telegra… https://t.co/U9FlKJpHSy,Sigit Prasetyo,441,0,0,Tue May 29 08:00:18 +0000 2018
1001369123396374528,New Airdrop - NEXOBonus 300 NEXO Token (Worth $90)Listed in CMC and Exchange1. Fill out this form… https://t.co/UUcloTZz55,Vishnu,5407,0,0,Tue May 29 07:46:18 +0000 2018
1001364193096986624,RT @CryptoCoinNewz: Buy's just made tonight.$SNTR $HER $NEXO and more $BAX,Alpha09GTR,111,6,0,Tue May 29 07:26:42 +0000 2018
1001362917311172609,RT @Terror_Scripter: No one can jump like @Nexo_os #RobloxDev #Roblox https://t.co/4EUA4SC4dC,ContentDestroyed,271,8,0,Tue May 29 07:21:38 +0000 2018
1001362750025666560,RT @CryptoCoinNewz: Buy's just made tonight.$SNTR $HER $NEXO and more $BAX,Blockchain,17976,6,0,Tue May 29 07:20:58 +0000 2018
1001362530151878657,RT @Terror_Scripter: No one can jump like @Nexo_os #RobloxDev #Roblox https://t.co/4EUA4SC4dC,Roblox RT Bot™®,889,8,0,Tue May 29 07:20:06 +0000 2018
1001362400539566080,RT @Terror_Scripter: No one can jump like @Nexo_os #RobloxDev #Roblox https://t.co/4EUA4SC4dC,ROBLOX Retweet Ⓜ️,349,8,0,Tue May 29 07:19:35 +0000 2018
1001361894500745216,RT @Terror_Scripter: No one can jump like @Nexo_os #RobloxDev #Roblox https://t.co/4EUA4SC4dC,ROBLOX RT's,63,8,0,Tue May 29 07:17:34 +0000 2018
