ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt
999709953257562112,"RT : Nexo, the largest issuer of security tokens by market cap, has a live product and a sustainable business model. NEXO Token…",Richard Seiler,223,123,0,Thu May 24 17:53:21 +0000 2018
999709946160779265,RT : Great 2 days learning line array and there NS1 software. learn sounddesign travel https…,Game Audio Bot,930,3,0,Thu May 24 17:53:19 +0000 2018
999709364918411266,"$nexo is registered as security for this reason, way ahead of the game",MVT,48,0,11,Thu May 24 17:51:00 +0000 2018
999709240783712256,Sounds like NEXO and DBET,Sean Meehan ✈,811,0,3,Thu May 24 17:50:31 +0000 2018
999707269502816256,RT : Some Gems with events ☀️$HER $SS $UBT $NEXO $BZNT $UUU $SPHTX $MAN $FSN $TFD $AUC $EVE $CPC $TRAC $ABT $RUFF $CS $MWAT $HOT…,zyraffee,44,16,0,Thu May 24 17:42:41 +0000 2018
999706794044702720,I like how you tagged them 😂,NeXo Zodiac (3k subs),137,0,1,Thu May 24 17:40:48 +0000 2018
999706725446967296,RT : How does a YouTuber with say 500k+ subscribers get in contact with ? 🤔😬,NeXo Zodiac (3k subs),137,3,0,Thu May 24 17:40:31 +0000 2018
999705690661732352,"RT : Nexo, the largest issuer of security tokens by market cap, has a live product and a sustainable business model. NEXO Token…",CryptoMcBitcoin™,2090,123,0,Thu May 24 17:36:24 +0000 2018
999705690661732352,"RT : Nexo, the largest issuer of security tokens by market cap, has a live product and a sustainable business model. NEXO Token…",CryptoMcBitcoin™,2090,123,0,Thu May 24 17:36:24 +0000 2018
999704885472956417,RT : Nexo is delighted to announce it has accepted the Crypto Valley Association’s membership invitation.$NEXO HODL InstantC…,Gullah33,64,54,0,Thu May 24 17:33:12 +0000 2018
999704532903911424,On June 4th nexo you will be able to deposit your tokens in the platform to earn dividends. They will distribute e… /cE1zDd0oCa,Jorge Contreras,7,0,1,Thu May 24 17:31:48 +0000 2018
999704125033140224,"Hence why I said potential. If the idiots will buy TRX/other fairy dust projects, just imagine how many will buy Nexo...",$Nexo $Kin 😎,1321,0,1,Thu May 24 17:30:11 +0000 2018
999704023606484992,One day i will have a “wall of crypto” in my house with the token/coin-logo and the amount of money i have made wit… /rTuX8eMY3d,onemore cryptodreamer,82,0,2,Thu May 24 17:29:47 +0000 2018
999703791892123648,That $NEXO dip was beautfiul. $AUC looks tempting at the moment.$btc $ltc $eth bitcoin litecoin,CryptoCision,48,0,0,Thu May 24 17:28:52 +0000 2018
999702500042248193,"RT : Nexo, the largest issuer of security tokens by market cap, has a live product and a sustainable business model. NEXO Token…",Crypto_Casper,120,123,0,Thu May 24 17:23:44 +0000 2018
