CRYPTO,MOST_RECENT_FILE,MOST_RECENT_FILE_LINE_COUNT,MOST_RECENT_TS
BTC,data/crypto/BTC/2018-06-01 07-42-00~2018-06-01 12-13-00.csv,272,1527847980
ZIL,data/crypto/ZIL/2018-06-01 11-19-00~2018-06-01 12-21-00.csv,63,1527848460
NEXO,data/crypto/NEXO/2018-05-29 12-40-00~2018-06-01 12-12-00.csv,4294,1527847920
